producoes_id,pesquisadores_id,issn,nomeartigo,anoartigo
ed880eb3-839f-4197-892b-38ce04352b21,83f3b662-3130-4d3e-9b4f-a698472dc7c3,18093957,ROBÓTICA EDUCACIONAL: CONSTRUÇÃO DE UMA DINÂMICA A PARTIR DO ROBÔ ARDU,2020
4e576a5e-4621-400a-9518-65ffc4951577,2d647981-d092-43bc-b25c-a30db53bd9ff,2076393X,Retrospective Cohort Study of COVID-19 in Patients of the Brazilian Public Health System with SARS-CoV-2 Omicron Variant Infection,2022
b9f892f6-71fc-44c0-83d2-760bf1e19c2d,2d647981-d092-43bc-b25c-a30db53bd9ff,23496495,Business Incubators and Sustainability: A Literature Review,2022
cd37f494-b59c-4135-b3e7-2c63df4ba2c5,2d647981-d092-43bc-b25c-a30db53bd9ff,22309926,Practices with educational robotics in professional and technological education,2017
599f34b0-06cb-43c8-aac8-f7686df27453,2d647981-d092-43bc-b25c-a30db53bd9ff,25253514,Os jovens podem participar? Considerações acerca da participação e formação políticas juvenis,2022
517f30c8-9bb3-4649-94e7-9ebcc0e8e3d6,2d647981-d092-43bc-b25c-a30db53bd9ff,09600779,Complex network analysis of arboviruses in the same geographic domain: Differences and similarities,2023
77881569-8103-46b9-8635-7a6c6435b81b,2d647981-d092-43bc-b25c-a30db53bd9ff,24112933,Media Bios and Artificial Intelligence: the dark side of Fake News,2022
4934a558-eac7-44eb-b75d-609588bbd6e4,2d647981-d092-43bc-b25c-a30db53bd9ff,20711050,Induction of a Consumption Pattern for Ethanol and Gasoline in Brazil,2022
4183bde8-4d56-40ed-8a45-e24f679b60e9,2d647981-d092-43bc-b25c-a30db53bd9ff,21788030,"IMPRESSÃO 3D: DA PESQUISA AO SETOR PRODUTIVO UM ESTUDO EXPLORATÓRIO SOBRE SUA EVOLUÇÃO HISTÓRICA, ORIGEM, TECNOLOGIAS, APLICAÇÕES E INOVAÇÕES",2022
9b841baa-ec1d-4b85-a17e-f6aeb9d69316,2d647981-d092-43bc-b25c-a30db53bd9ff,21757275,Centroid model applied for energy scenarios in regions with limited resources,2022
00d4ff7b-34d4-46d9-8207-55fef9dc6844,2d647981-d092-43bc-b25c-a30db53bd9ff,2296424X,Renewable sources to promote well-being in poor regions of Brazil,2022
c5a7ab6b-1456-43ed-8409-839f9c07ac22,2d647981-d092-43bc-b25c-a30db53bd9ff,00489697,Paradox between adequate sanitation and rainfall in dengue fever cases,2023
5c557fef-e064-47a8-96e0-7adb34be0e65,2d647981-d092-43bc-b25c-a30db53bd9ff,21789010,Persistências e rupturas no estudo do Coronavírus após a epidemia da COVID-19,2023
448b44ec-0e4e-4625-8f10-c7d55302c931,2d647981-d092-43bc-b25c-a30db53bd9ff,15411389,Aprendizagem organizacional: sinergia interdisciplinar nos saberes,2023
a4023200-c467-4f03-9829-9b2002212fd7,2d647981-d092-43bc-b25c-a30db53bd9ff,20711050,Renewable Energy Generation Technologies for Decarbonizing Urban Vertical Buildings: A Path towards Net Zero,2023
7635caab-71ca-4d6f-a1ae-8867938e9737,2d647981-d092-43bc-b25c-a30db53bd9ff,23293284,The Importance of the Facility Location Techniques to Assist Companies in Decision-Making for the Installation of Logistics Hub,2024
d5208faa-771d-4c4b-9e5e-be5b7c3d6716,2d647981-d092-43bc-b25c-a30db53bd9ff,21789010,Estudo da aplicação de algoritmos de machine learning na manutenção preditiva de motores elétricos,2023
e5f6a150-5150-44e7-9d85-0ccab876cfd3,2d647981-d092-43bc-b25c-a30db53bd9ff,00105236,"Epidemiological outbreaks of dengue, chikungunya and zika from 2015 to 2019: Rio de Janeiro case",2023
